레시피 제목,요리명,요리재료,레시피내용
?봄동겉절이 만드는법 - 밥비벼 먹어도 꿀맛,봄동겉절이, 봄동 간장 까나리액젓 간장 설탕 올리고당 마늘 깨 참기름 소금,0
홈메이드 어리굴젓만들기,어리굴젓, 소 굵은소 청주(or맛술 고춧가 찹쌀 양 다진마 다진생 설탕(or꿀,0
양배추채김치:양배추김치와는 또 다른 식감으로~,양배추김치, 양배추(작은거) 양파 사과(생략가능) 파 통깨 절임소금 황태육수 찹쌀가루 고춧가루 사과 방울토마토 매실청 다진마늘 다진생강 새우젓 액젓,0
초간단 고추참치 쌈장,고추참치쌈장, 고추참 청양고추 대 시판 참기 통 양배 상,0
안심하고 먹는 홈 메이드 짜지않은 저염 오징어젓갈 만드는 법,오징어젓갈, 오징어 무 청주 천열염 마늘 양념 고운 물엿 다진 깨소금 참기름,0
대장암에 좋은 브로콜리 요리 매콤달달 겉절이로 건강 챙겨요.,브로콜리, 브로콜리 고춧가루 올리고당 소금 까나리액젓 매실청 참 마늘 찹쌀 참기름(개인취향껏,"['브로콜리 1통을 살살살 줄기째 잘라서식초물에 30분 정도 담가 두었어요.(식초는 주루룩 과하지 않게)', '브로콜리송이를 깨끗하게 손으로..벌려가면서 씻어주어야해요..송이 안쪽으로 먼지가 있을수 있어요.깨끗하게 씻은후,브로콜리 줄기 부분은 씹히는 식감이 부담스럽지 않게 조금 얇게 썰어주었어요.(바구니에 담아서 물기 제거)', '브로콜리 겉절이에 들어갈 양념을 만들어요.고춧가루, 까나리액젓, 마늘, 올리고당, 매실청, 찹쌀풀', '양념이 만들어지면...손질해둔 브로콜리에 올려서 조물조물양념맛이 잘 배이도록 살살살 버무려요.', '양념이 잘 배이도록 버무렸다면...간을 보아서..간을 조절하면 된답니다..이때..조금 싱거워서 소금은 조금 솔솔~~', '참깨 솔솔~~~입맛에 따라서 참기름이나 들기름을 즐기신다면 추가 해도 된답니다.']"
백깍두기,깍두기, 작은 다진마늘 다진 매실청 설탕 새우젓 홍고추 절이기 굵은 물 설탕,"['작은 무 2개를 사용했습니다. ', '깍둑썰기를 하는데, 도톰하게 통썰기한 후, 무 지름에 따라 3둥분 내지 4등분하여 사각 모양으로 썰어줍니다.', '깍뚝썰기가 끝났습니다.', '무를 절여야 하는데, 굵은 소금을 보이는 대국자를 이용하여 1국자 넣고, 여기에 물 5국자, 설탕 1큰술 반을 넣어 고루 녹여줍니다. 소금만 넣어 절이는 것보다 물을 넣어 절이는 것이 훨씬 잘 절여지구요. 설탕을 조금 넣어주면 무에 단맛이 들어서 깍두기를 만들어 놓았을 때 훨씬 맛있답니다. ', '2-3시간 정도 절여주세요. 전 3시간을 절여주었답니다. 소금에 절이면 삼투압 현상에 의해 무 자체에서도 물이 많이 빠져 나옵니다. 물이 많이 보이죠? ', '세번 정도 헹궈주고, 30분 정도 물기를 빼주었습니다. ', '백깍두기 양념은 간단한 편입니다. 다진 마늘 2큰술, 다진 생강 1큰술, 다진 새우젓 1큰술, 설탕 1큰술, 매실청 1큰술, 홍고추 반 개를 어슷썰어줍니다. 홍고추 대신 실고추도 좋구요. ', '큰 볼에 물기 뺀 무를 넣어주고 홍고추만 빼고 양념을 모두 넣고 버무려줍니다.', '마지막에 홍고추를 넣고 살짝 버무려줍니다. 홍고추를 넣어주니 확실히 색감이 확 살아나죠.', '김치통에 넣어주고 상온에서 하루 정도 놔뒀다가 김치냉장고에 넣어주세요.', '보기만 해도 시원한 맛이 느껴지지 않나요?', '백깍두기가 완성되었습니다. 3일이 지나 익은 백깍두기입니다. 깍두기 국물도 나오고요. 익은 깍두기의 비쥬얼이 나오지요? 아이들이나 위가 안 좋아서 매운 거 못 드시는 분들에게 추천드립니다. 무의 시원하고 깔끔한 맛을 느낄 수 있는 백깍두기, 한번 만들어 보세요.']"
파릇파릇 봄동 겉절이 만들어 봄을 먹어요.,봄동겉절이, 봄동 고춧가루 까나리액젓 올리고당 마늘 참깨 참기름 매실청 굵은소금 올리고당 마늘,"['봄동을 물에 30분 정도 식초 톡톡담가 두어요.', '깨끗하게 씻은 봄동을 소금 솔솔살짝이 절여 주어요.', '살짝 절여진 봄동을 두어번 깨끗하게 씻어 바구니에 담아서 물기를 제거해 주어요.', '봄동 겉절이에 들어갈 양념을 만들거예요.고춧가루 2숟가락, 까나리액젓 2숟가락, 매실청1숟가락, 올리고당 1숟가락, 마늘 1숟가락 넣어 잘 섞어 주어요.', '만들어진 양념에 마지막으로 참깨 솔솔', '물기 제거가 된 봄동에 만들어진 양념을넣어 살살살 버무려 주어요.', '간을 보아 부족한 부분은 더 첨가를 해도 된답니다..(고춧가루나 소금)', '다 만들어진 봄동 겉절이에 참깨 솔솔~~참기름을 좋아한다면..겉절이에 참기름 주르륵~~']"
봄동겉절이 + 봄동된장국 # 봄나물요리,봄동겉절이, 봄동겉절이 봄동 까나리액젓(또는멸치액젓) 고춧가루 매실액 식초 통깨 다진마늘 양파 참기름 봄동 멸치다시마육수 봄동겉잎 된장 다진마늘 파 고추 호박 달래,"['봄동을 잘씻어서 물기를 빼줍니다. (겉잎은 된장국에 쓰시고 속으로 겉절이를해주시면 좋아요 )', '먹기좋게썬 봄동에 마늘과 양파를넣고', '까나리액젓 또는 멸치액젓을 2스푼넣어주세요.', '분량의 나머지양념을 넣어주시는데 매실액이없다면 설탕을 약간넣어주세요.', '살살 버무려주시다가', '마지막에 참기름 한스푼. 싫으시면 뺴시고 참기름으로마무리해주셔도됩니다.', '예쁘게 담아내면 끝! 맛있게 드시면되요 ^^', '봄동의 겉입을 떼어두었다가 된장국을 끓이셔도좋아요.', '멸치다시마육수를 내어서', '호박약간과 된장2스푼을 풀어줍니다. 미소가있으시면 미소1 시판된장1섞으셔도 맛있어요!', '봄동2줌과 달래약간(없으면빼시구요) 넣어서 한소끔끓인뒤', '마늘, 파, 고추등을 넣고', '기호에따라 고춧가루를 첨가해드시면 더맛있습니다 ^^']"
나박지,나박지, 배추속   생 부 홍고 마 고운고춧가 소 스윌로(감미료,"['배추속대, 무, 파, 마늘, 생강, 홍고추, 부추, 소금, 감미료를 준비합니다.', '무를 소금에 살짝 절인 다음에 고운 고추가루로 비벼서 물을 들입니다.', '배추속대도 무와 같이넣고 섞습니다.', '따뜻한물, 파, 마늘, 부추, 생강, 마늘, 감미료는 조금 넣고 소금으로 간을 맞춥니다.', '하루정도면 맛있는 나막지가 완성이 됩니다.']"
파프리카와 찰떡궁합  시금치 겉절이 만드는 법,시금치겉절이, 시금치 파프리카 당근 멸치액젓 양파진액 고춧가루 설탕 다진 파 통깨,0
자취생이 깍두기가 먹고 싶어서 무하나 사서 만들었어요:),깍두기, 무 당근 양파 대파 고추가루 다진마늘 새우젓 설탕 통깨 절 굵은소금,"['당근과 무를 준비 합니다.반개만 하려고 했다가 1개 다 썰었어요:)', '무는 손톱 두깨정도로 해서 사각으로 잘라주시면 됩니다.', '크기는 손가락 한마디 정도에요.', '굵은 소금을 준비 합니다.', '무위에 뿌리고 한번 섞어 주세요.그리고 30분 정도 절이는데요 중간중간에 볼을 들고 키 치듯이 올렸다 내렸다 해서 섞어 주세요.', '당근은 어슷 썰어서 채썰어 주세요', '대파와 양파를 준비합니다.', '양파는 채썰어주시고요', '대파는 가로로 한번 쓱 잘라 주신 후에(사진에 빨간색 선 참고)', '총총총 썰어 줍니다.', '대파에 진액이 나올까봐 찬물에 담구어 두었습니다.', '찬물에 대파와 양파를 담아 두고(10분정도)', '고루 섞어 소금에 절인 무를 흐르는 물에 씻어서 물기를 빼줍니다.', '대파와 양파도 함께 물을 빼고요', '물기가 빠지는 동안 양념장을 만들어줍니다.고추가루, 새우젓, 통깨, 다진마늘, 설탕을 섞어주세요.', '물기뺀 무, 대파, 양파 그리고 잘라 놓은 당근을 넣어 줍니다.', '양념장에 무를 버무립니다.', '저는 숟가락으로 섞어 주니 무쳐지더라구요.귀찮으심 반찬통에 넣고 흔드셔도 됩니다.맛보시고 입에 맛있으면 완성입니다.']"
열무김치,열무김치, 열무  마 오 부 홍고 풋고 고추가 생 소 감미 밀가,"['누런잎 떼어내고 무쪽은 잘라내도 되구 아님 칼로 껍질을 긁어내고 함께 넣으셔도 괜찮아요.', '다듬은 열무는 작은것은 1/2등분하고, 키가 너무 큰것은 3등분해서 잘라 통에 담으세요.', '2단을 다듬으니 이만큼 이네요.', '흐르는 물에 2번정도 씻어 주세요. 설렁설렁 열무끼리 자꾸 부딧치면 나중에 풋내가 많이 나요.', '굵은 소금을 열무 사이사이 뿌려 주세요.', '맨 위에도 굵은 소금을 솔솔 뿌려주세요.', '열무가 절여지는 동안 참쌀풀을 쒀야 해요. 다시육수에 찹쌀 가루를 넣고 약불에 놓고 계속 저어가며 풀이 될때까지 끓여 주세요.', '찹쌀풀도 완성 되었네요.', '1시간 정도 절였어요. 다 절여진 열무는 흐르는 물에 또 2번정도 헹구어 주세요.', '바구니에 열무를 넣고 물기를 빼주세요.', '멸치액젓을 넣어 주세요.', '새우젓도 넣어주고', '고추가루 넣어 주세요.', '양파도 썰어서 넣어주고', '청양고추도 어슷썰어서 넣어주고', '홍고추도 어슷썰어서 넣어주고', '쪽파도 썰어서 넣어주고', '찹쌀풀 한국자만 넣는게 아니구요. 쑤어놓은 찹쌀풀을 모두 넣으세요.', '아가베시럽, 설탕이나 올리고당등 당분이에요.', '다진마늘도 넣어주고', '생강가루도 넣어주고', '분량의 재료들을 모두 넣고 버무려 주세요.', '물기를 뺀 열무를 만들어 놓은 양념에 넣고 살살 버무려 주세요.', '열무는 통에 넣어주세요.', '요러케 통에 담아서 하루 반나절 익혀 주세요.']"
3%의 고추장은 가라.~~ 찹쌀고추장 첫 도전기~~,찹쌀고추장, 주재 고춧가루 엿기름 물엿 소금(천일염) 설탕 찹쌀가루 부재 항아 유리뚜 소금(천일염),"['고춧가루 2키로를 방앗간에서 빻아 왔어요.', '메줏가루도 같이.. 1kg 빻았어요.', '엿기름가루를 물에 한나절 정도 불려주어채에 걸러서 6시간 삭혀 주었어요.(생수 2.5리터 넣어서 엿기름물을 만들었어요)그리고 70%가 되게 바글바글 끓여 주었어요.', '찹쌀가루 1kg은 물 1리터를 부어서바글바글 한참을 끓여서 쑤어주었어요.30분정도 끓인것 같아요.', '뭉쳐진 메줏가루는 손으로 비벼서 풀어주어고춧가루와 같이 준비해 두어요.', '만들어진 찹쌀가루를 넣어 주어요.', '메줏가루와 고춧가루에 찹쌀가루를 넣고버무려 준후에 물엿 3kg을 넣고잘 저어 주면 된답니다.이때 소금(천일염도) 넣어서 간을 맞추어요..한꺼번에 1kg 다 넣는것이 아니고80~90%만 넣고 간을 봐서 조절하면서넣어요.', '마지막으로 엿기름을 넣어 잘 썩어 주면 된답니다..', '조금 되다 싶어서...냉장고에 있는 강엿을 녹힌후에넣어 주었어요.(물1리터 넣었어요.)* 고추장이 되다 싶을때에는 소주를 부어서 조절 하면 된다고 하더라구요.', '단맛이 느껴지지 않아서설탕 100g 넣어 주었어요.', '잘 섞어주니...딱 좋은 비주얼의 고추장이 되었어요.하루나 이틀정도 상온에서 보관후에간을 보아 간을 간간하게 맞추어 주어요.간 맞추는게 힘이 들더라구요..', '항아리에 넣고, 천일염을 조금 뿌린후에유리뚜껑 덮어 햇살 잘 드는곳에 두고7개월 숙성을 하면 맛있는 고추장이 된답니다.', '작은 통에도 조금 담아 두었어요..숙성되는 7개월동안에 먹을것을 남겨 두었지요..재래식고추장이라 담아서 바로 먹을수도 있어요.']"
어머나... 망고댁이 굴젓을 만들었다네~~!!,굴젓, 굴젓만들기 굴 배 마늘 파 굴젓만들기 천일염 고추가루 ,0
봄나물겉절이,봄나물겉절이, 봄동 겨울초 달래 멸치액젓 간장 다진마늘 고추가루 식초 매실청 설탕 참기름 갈은깨,"['봄동은 잎을 한장씩 떼어 내고 깨끗하게 씻은 후 잎이 큰건 +자로 4등븐으로 자르고 작은건 길이로 길게 반으로 자르고 작은 잎이 여러장 붙은 속통은 한입으로 잘라 줍니다. 요렇게 손질한 봄동 2줌.', '겨울초는 깨끗하게 씻어 길이가 긴 잎은 반으로 잘라 준비해 줍니다. 요렇게 손질한 겨울초 2줌.', '달래는 깨끗하게 씻어 뿌리부분을 방망이로 살짝이 두드려 준 후 먹기좋게 덤성하니 잘라 줍니다. 요렇게 손질한 달래 한줌.', '큰 양푼이에 멸치액젓 2큰술, 간장 2큰술, 다진마늘 1큰술, 고추가루 2큰술, 식초 1큰술, 매실청 1큰술, 설탕 1/2큰술, 참기름 1큰술, 갈은깨 1큰술 을 넣고 고루 섞어 줍니다.', '그리고 손질한 봄동, 겨울초, 달래를 넣고', '고르게 살살 버무려 줍니다.', '하나하나 따로 무치는것보다 한번에 여러 나물을 무쳐 놓으니 식감도 다양하고 향도 있어 더 맛나네요.']"
얼갈이겉절이,얼갈이겉절이, 얼갈이배추 매운 고운 멸치액젓 찹쌀풀 생 마 대 설탕 소금 통깨,"['연하고 싱싱한 열갈이 배추 3포기입니다. 시중에 파는 것보다 크기가 커서 요 정도 양도 꽤 많네요. 친환경 농산물이라서 더 좋구요.', '얼갈이 배추 손질은 줄기와 잎을 함께 먹기 위해 사진과 같이 세로로 잘라주고 먹기 좋게 등분하면 좋습니다.', '얼갈이 배추 3포기에 천일염 1줌 반과 종이컵으로 물 1컵을 넣어 30분간 절여줍니다. 중간에 한번 뒤집어 주시구요. 살짝만 절여주는 것이 포인트입니다. ', '세번 정도 헹궈서 물기를 빼주시구요. ', '양파는 작은 걸로 반 개를 채썰어주시구요. 부추는 4-5cm 길이로 썰어 2줌을 준비합니다. 찹쌀풀은 찹쌀가루를 밥숟가락 3큰술과 종이컵 1컵의 물을 넣어 거품기로 잘 저어 풀어준 후 가스레인지에서 풀을 쑤어 주면 됩니다. 계속 저어주면서 점점 걸쭉해지는 농도가 되고요. 거품이 툭툭 터지면 완성된 것입니다. 까나리액젓 3큰술, 대파 1대 송송 썬 것, 홍고추 1개 어슷썬 것, 매실액 1큰술, 다진 마늘 1큰술 반, 생강가루 반작은술, 고추가루 종이컵', '볼에 절인 얼갈이를 넣고 한쪽에 양념을 모두 넣어줍니다. ', '양념을 먼저 버무려줍니다. ', '요렇게 양념이 모두 섞이면 얼갈이배추에 버무려줍니다. ', '얼갈이 배추에 양념이 되었구요.', '양파, 부추, 대파, 홍고추를 넣어 한번 더 버무려줍니다. 이 때 고추가루 색상이 조금 덜 나면 고추가루를 좀더 추가해주셔도 됩니다. ', '부추가 들어가서 더 향이 좋답니다.', '얼갈이겉절이가 완성되었습니다. 바로 먹어도 맛있구요. 하루이틀 지나서 먹어도 익은 대로 또 색다른 맛입니다.']"
무채김치:깍두기 대신 깍두기 담듯 ,무채김치, 무(중1개) 부추 절임소금 절임올리고당 고춧가루 찹쌀풀 찹쌀가루 찹쌀풀 고춧가루 사과 방울토마토 메실청 다진마늘 다진생강 새우젓 액젓,"['두께조절슬라이서를 이용해 먼저 가장 두꺼운 상태로 납작썰기를 한 후 칼로 채썬다*너무 가늘게 채썰 필요없다', '소금+올리고당을 넣어 절인다*올리고당(물엿/조청)은 무를 더 꼬들하고 맛있게 절여주는 효과가 있다고 한다(단맛은 남지 않아요)', '1시간이상 절인 후 절인 물을 따라내고 체에 받혀 잠시 물기를 뺀다*씻어내지 않아도 된다', '황태육수에 찹쌀가루를 풀고불을 켠 후 찹쌀풀을 쑤고차갑게 식혀둔다', '찹쌀풀에 고춧가루 등 양념재료를 넣고갈아서 김치양념을 만든다', '절인 무에 먼저 고춧가루를 넣어 버무린다*고춧가루가 겉돌지 않고 색을 곱게내는 효과가 있다', '김치양념을 넣어 버무린다', '4센티길이로 썬 부추를 넣어가볍게 버무린다*쪽파나 실파를 넣어도 된다', '간을 보아 싱거우면 액젓을 더하고참깨를 넣어 마무리한다']"
맛 간장~저염 요리에 좋은 맛 간장 만드는 법~!~,맛간장, 채수 간장 설탕 맛술 채 당 홍고 파뿌 마른표고버 사과말랭 양파껍 양 대 청양고 생강 마 다시마 통후,"['야채육수를 만들기 위해서 냉장고에 남은 야채들과 말려놓은 사과 말랭이를 넣어주면 단맛도 더해준답니다~!~채소 육수:냉장고 속 자투리 채소(당근 홍고추 파뿌리 마른 표고버섯 사과 말랭이 양파껍질 양파 대파 청양고추 생강즙 마늘 다시마 1장 통후추', '대파와 청양고추는 얼려놓았던 것을 꺼내 놓았어요~!~', '물 1000ml에 모든 재료를 넣어 끓기 시작하면 약불로 줄여서 10분 정도 더 끓여 주었어요~!~채수를 만들어 놓았어요~@!', '채수가 맛있게 만들어졌어요~!!채수 500ml 준비했어요~!', '간장은 500ml 2컵 1000ml를 준비했어요~@!', '두 가지 합한 다음 설탕 1컵과 맛술 1컵 넣어서 끓기 시작하면 약불로 줄여서 5분 정도 더 끓여 주었지요~@!', '맛있는 맛 간장을 만들어 두면 요리할 때 요리가 쉬워진답니다그리고 짠맛도 조금은 줄여주지요~@!간장게장이나 새우 장 조림 모든 요리에 맛 간장을 이용하면 맛있는 요리가 완성된답니다~!~', '예쁜 병에 담아서 냉장고에 넣어두고 요리할 때마다 사용한답니다냉이 장아찌도 맛 간장으로 만들었답니다~!~', '냉이 장아찌 담고 얼마 안 남아서 조금 더 만들어야겠어요!~@!맛 간장이 있으면 장아찌 만들 때 맛 간장만 부어주어도 짜지도 싱겁지도 않고 아주 맛있는 장아찌가 완성된답니다~!~']"
봄제철 음식인 멍게젓갈 만드는 법,멍게젓갈, 멍게 풋마 땡초 굵은소금 멍게젓갈 고춧가루 마늘 액젓 설탕 통 참기,"['솔질 멍게를 굵은 소금 2큰술 뿌려서 2시간 절여주세요', '절여진 멍게를 한 입에 먹기 좋은 크기로 잘라주세요', '큰 볼에 멍게를 준비해주시고, 어슷썰은 땡초와 분량의 양념장을 넣어주세요', '알싸한 풋마늘을 어슷 썰어 넣어주세요', '마지막 참기름을 조금 넣어 마무리 하시면 됩니다.']"
오독오독 오이소박이,오이소박이, 오이 부추 고추가루 새우젓 액젓 다진마늘 다진생강,"['굵은소금을 끓여줍니다.바닷물보다 조금 더 짜게..', '오이는 깨끗히 씻어 반으로 잘라 1센티 정도의 끝을 남기고가운데 십자의 칼집을 넣어줍니다.', '팔팔 끓는 소금물을 그대로 오이에 부어 30~40분 절여줍니다.', '흐르는 물에 씻어 물이 빠지도록 세워 놓고..', '부추 한 줌을 적당히 썰고 양념을 전부 섞어주세요.', '저는 고추가루를 다섯 숟가락 했더니 많더라구요..모든 양념은 식성대로 가감하시고 설탕도 반스푼 넣어주세요.', '참고로 저는 조미료 사용합니다.장으로 하는 음식이나 김치류에는 넣어줘야 소금의 양도 줄이고 제맛이 납니다.티스푼으로 1티 정도 넣었구여, 물론 선택입니다^^조미료가 인체에 아무런 해가 없다는 것 진작에 밝혀진 사실이기에 저는 안심하고 사용합니다.']"
|반찬| 초간단 봄동 겉절이,봄동겉절이, 봄 청양고추 고춧가루 액젓 대파 올리고당 다진마늘,0
봄동겉절이 황금레시피  10분만에 뚝딱 완성!,봄동겉절이, 봄동(큰거) 간마늘 멸치액젓 매실액 고춧가루 설탕 참깨 홍고추 풋마늘,0
된장쌈장 만들기,된장쌈장, 집된장 양파 마늘다진것 다시마물 멸치가루,0
봄동요리,봄동겉절이, 주재 봄동 돼지고 달 신김 된,0
파김치맛나게담는법  초보도 만들 수 있는 파김치 달인에 파김치 황금레시피 공개!,파김치, 쪽파 까나리액젓(or멸치액젓) 고춧가루 올리고당(or설탕) 깨소금,0
초벌 부추 겉절이,부추겉절이, 초벌부 돌미나 오이 멸치액젓 고춧가루 다진마늘 설탕 매실액 통,"['초벌부추와 돌미나리는 씻어서 체에 물기를 제거하고, 오이는 어슷썰어 준비합니다.', '분량의 양념장 준비', '양념장을 썩어주세요', '손으로 살살 버무려 주면 됩니다.']"
파김치,파김치, 쪽파 까나리액젓 찹쌀풀 고춧가루 설탕 매실청 통깨 새우젓,[]
봄 입맛 잡아 줄 젓갈5종세트,젓갈, 각종 매운고 설 통 생강가,"['마늘, 청양고추, 쪽파만 준비했습니다.', '마늘은 채썰고 고추도 쪽파도 쫑쫑쫑 썰어줍니다. 마늘 채썰기가 여의치 않다면 얇게 편으로 써세요^^', '새우젓 삼키로에 토하, 비빔낙지, 순태젓을 주문했는데 오징어 젓갈을 저렇게 한 통 가득 서비스로 주셨네요~ 감사하고로^,.^', '오징어가 통통하고 실합니다. 가위로 몇 번 싹둑거려 잘랐습니다. 준비한 마늘, 고추, 쪽파를 넉넉하게 넣고 통깨, 고추가루에 쓰는 조미료, 설탕 약간 추가해서 쓱쓱싹싹 비벼줍니다. 그냥 먹어도 냄새하나 없이 쫀득하니 맛있지만 슈기네 식구들은 젓갈에 엉긴 마늘과 고추를 아주 좋아해서 넉넉하게 넣어줍니다.', '간단하지만 참으로 기특기특한 밑반찬, 오징어젓갈입니다. 아이들도 잘 먹는 젓갈이지요.', '쌈 싸먹기도하고 뜨끈한 밥에 비벼먹기도 하는, 우리 막내녀석이 제일 좋아하는 낙지젓을 좀 더 잘게 다진 비빔 낙지젓입니다. 오징어젓 보다는 색이 진해 고추가루를 제외한 나머지 양념으로 무쳤습니다.', '상추가 있었으면 몇 쌈 가득가득 먹었을 텐데~~', '이건 토하젓. 요즘은 토하가 아주아주 귀하다지요.. 그래서 다른 젓갈보다는 값이 좀 더 나가는 젓갈입니다.^^', '토하젓에는 마늘이나 고추등을 넣지 않고 설탕 조금과 통깨로만 무쳤습니다. 이거,,, 참 별미 젓갈입니다.^ 이것 역시 쌈에도 싸먹고 갓지은 밥에 참기름 한 방울과 비비면 밥 두그릇은 뚝딱이랍니다.', '얘는 토하랑 비슷하지만 갈치속젓, 순태젓입니다. 슈기는 알타리를 꼭 이 순태젓으로 담습니다. 제 알타리 특허낼라고 했었다는~ ㅋㅋㅋ 깊은 구수함과 특유의 맛이 나는 젓갈로 오래 전 제주도에서 맛을 들인건데 이곳도 제주도 젓갈에 전혀 부족함이 없습니다.', '이 젓갈에도 마늘과 고추를 넣는데 오징어 젓갈에 보다는 적게 넣었습니다. 갈치 내장의 맛을 좋아하는 사람은 아주 좋아하지만 싫어하는 사람도 있으니 생강가루 넉넉하게 보태서 무쳐줍니다. 식성이야 다 다르지만 물미역이나 쌈다시마에 쌈장으로 올려먹으면~~ 절대로 그 맛을 못잊는, 참 별미중 별미 젓갈입니다.^', '삶던 굽던 돼지고기 먹을 때 꼭 곁들여 먹기 때문에 거의 일년 내내 떨어뜨리지 않는 새우젓입니다. 양념은 같고 고추가루는 많이 넣지 않습니다.', '오징어젓과 새우젓에는 고추와 마늘 통깨를 아낌 없이 넣어서 고소함과 칼칼함을 살려 먹어야 제맛입니다.^', '봄 여름 가을 겨울... 왜 식욕이 없는지 도통 모르는 저와는 달리 유독 계절 타는 입맛을 소유하신 우리집 회장님 때문에 봄이면 이런저런 젓갈을 준비합니다.']"
다 먹을 때까지 아삭한 오이소박이,오이소박이, ?오이 부추 고춧가루 새우젓 액젓 다진 다진 설탕 소금 찹쌀 물 찹쌀가루 오이 물 호렴(굵은,"['오이를 깨끗이 씻어서 3등분한 후', '열십자 모양으로 칼집을 넣어 주세요.', '오이절이기 분량의 물과 소금을 섞어 팔팔 끓여서 오이에 붓고 무거운 접시로 오이가 떠오르지 않게 눌러주세요.', '부추는 깨끗이 씻어서 2cm 길이로 잘라서 양념과 찹쌀풀 쑨 것을 식혀서 넣어 버무려주세요.', '끓는 물을 부어 20분 정도 절여진 오이를 찬물에 씻어 체반에 건져 놓은 후', '열십자로 벌어진 사이로 소를 꼼꼼히 채워 넣으세요.', '완성된 오이소박이를 용기에 차곡차곡 넣어주세요. 하루 정도 지나면 물이 나와서 적당히 촉촉한 오이소박이가 됩니다.요즘 같은 날씨에는 실내에서 이틀 정도 익혀서 냉장고에 보관하면 마지막 한 개까지 아삭한 오이소박이를 먹을 수 있어요.']"
조개젓갈 맛있게 무치는 방법,조개젓, 조개젓 청양고추 양파 마늘 마늘대(쪽파 고추가루 깨 생강가루 설탕,"['재료를 준비합니다.', '마늘대는 총총썰어줍니다.청양고추는 반 가르고 총총썰었어요 다지면 좋은데 커야 매운거 못먹으니 보고 안먹도록 다지지 않았어요.양파는 채썰고 반 잘랐어요.마늘은 쿵때린 후에 다졌어요.', '고추가루, 통깨 빻은거 그릇에 넣어 주세요.', '조개젓을 국물빼고 넣어주시고 생강가루 조금 넣어주세요.', '준비한 채소를 넣어주세요.저는 조개가 비릿한 맛이나서 설탕 넣었어요.', '젓가락으로 섞어주시면 완성입니다.', '접시에 먹을 만큼 덜어서 쓰세요~']"
알타리김치,알타리김치,알타 굵은소 마 생 고추가 설 조미료 육수나 새우 액,"['농수산물에서 1단에 4천원이라6단 구매했습니다ㅋ알타리사진이 없네요ㅠㅠ레스비올린다는게 참 힘드네요ㅎㅎ아직도 적응을 못해서 사진찍는걸 자꾸 잃어버리네요 ㅎㅎ', '알타리를 머리부분에 지저분한거만 손질하시구여뿌리부분 제거해주시고저는 껍질째로 담구는편이라ㅎㅎ줄기를 많이 안먹는편이라3~4줄기만 남기고 다 잘라버리시구여천일염뿌려놓고 절이세요', '찹쌀가루가 없어서 찹쌀을 씻고끓인후 믹서기로 갈아서 쓰면편해요ㅎㅎ', '배는 껍질째 깨끗하게 닦고식초물에 담거종이컵에 반컵만 물을 넣구여배를 씨만제거해서 적당히 썰어약불에 익혀주세요', '믹서기에 넣고 갈아주세요', '양념장을 만들어주세요갈은배 1국자 찹쌀풀 2국자 곤새우젓2국자 (곤 새우젓으로 하면감칠맛이 나고 더 맛있습니다)생강청1국자 다진마늘1국자 매실청1국자 멸치액젓1국자(멸치액젓도 경주쪽에 올라온 액젓이라 그다지 짠맛이 없는 젓이네요저희 집앞에 폐트병 1병원 만원ㅎ사람들이 맛있다고 겁나 잘 팔린다능ㅎㅎ고춧가루4~5컵잘 버무려주세요', '쪽파 반단에서 더 넣어 양념과 함께 잘 버무려주세요^^', '알타리를 2시간만에 절여서 여러번 헹궈 물기를 빼주시면 좋은데요ㅋ또 사진이 없네요ㅎㅎ물기를 뺀 알타리를 한쪽에 반정도 덜어 양념장에 조금씩 발라주시면서 한쪽 구석에다 밀어놓고 요렇게 하시구여나중에 한꺼번에 두손으로 잘 버무리시면 덜 힘들고 편해요ㅎㅎ', '골구루 양념이 잘 들어가도록 두손으로 잘 발라주세요', '이제 통에 무 하나하나 잡고 넣어주시면꺼내먹을때 덜 엉커서 편하게 꺼낼수 있답니다ㅎㅎ', '무를 다 넣으면 양념장을 위에 올리시면 끝 이네요ㅎㅎ', '위에 깨를 뿌리면 (깨 생략가능)알타리김치 완성ㅎㅎ']"
파김치간단하게 담그는법,파김치,파 멸치액젓 밥 멸치다시마 고추가루 다진마늘 다진생강 매실청,0
